Loccioni - Leaf Lab Roof Irradiance (Plant:120),,,,Leaf Lab Audit (Energia Totale:4352),,,,Temperature|Centrale_Termica|AO_Temp_Esterna_AVG (Node:2684),,,,Temperature|Uffici|AO_Temp_Media_Uffici (Node:2684),,,
Date,Value,Quality,Status,Date,Value,Quality,Status,Date,Value,Quality,Status,Date,Value,Quality,Status
2018-01-01 00:15:00,4.53628516624041,Real,Valid,2018-01-01 00:15:00,5,Real,Valid,2018-01-01 00:00:00,6.0128,Real,Valid,2018-01-01 00:00:00,18.0943,Real,Valid
2018-01-01 00:30:00,4.11453324808184,Real,Valid,2018-01-01 00:30:00,5.25,Real,Valid,2018-01-01 00:15:00,6.2478,Real,Valid,2018-01-01 00:15:00,18.0262,Real,Valid
2018-01-01 00:45:00,4.00664322250639,Real,Valid,2018-01-01 00:45:00,5,Real,Valid,2018-01-01 00:30:03,6.2406,Real,Valid,2018-01-01 00:30:03,17.9375,Real,Valid
2018-01-01 01:00:00,3.64864450127877,Real,Valid,2018-01-01 01:00:00,5.125,Real,Valid,2018-01-01 00:45:00,6.5086,Real,Valid,2018-01-01 00:45:00,17.8712,Real,Valid
2018-01-01 01:15:00,3.32987851662404,Real,Valid,2018-01-01 01:15:00,5.125,Real,Valid,2018-01-01 01:00:00,7.0098,Real,Valid,2018-01-01 01:00:00,17.8112,Real,Valid
2018-01-01 01:30:00,3.83009590792839,Real,Valid,2018-01-01 01:30:00,5,Real,Valid,2018-01-01 01:15:00,7.0277,Real,Valid,2018-01-01 01:15:00,17.7506,Real,Valid
2018-01-01 01:45:00,3.55546675191816,Real,Valid,2018-01-01 01:45:00,5.125,Real,Valid,2018-01-01 01:30:00,7.3161,Real,Valid,2018-01-01 01:30:00,17.7031,Real,Valid
2018-01-01 02:00:00,3.79576726342711,Real,Valid,2018-01-01 02:00:00,5,Real,Valid,2018-01-01 01:45:00,7.0182,Real,Valid,2018-01-01 01:45:00,17.6387,Real,Valid
2018-01-01 02:15:00,2.92303069053708,Real,Valid,2018-01-01 02:15:00,5.125,Real,Valid,2018-01-01 02:00:00,6.9925,Real,Valid,2018-01-01 02:00:00,17.6168,Real,Valid
2018-01-01 02:30:00,3.3202621483376,Real,Valid,2018-01-01 02:30:00,5,Real,Valid,2018-01-01 02:15:00,7.3821,Real,Valid,2018-01-01 02:15:00,17.5787,Real,Valid
